Microbenchmark,Cycles,Instructions,IPC
MIM,30279910,3659427,0.12085329844111162
CCh_st,66451547,48233256,0.7258409800452049
MC,173969464,25395242,0.14597528449015626
STL2,82343450,18022430,0.21886901751141105
DPT,15162732,10242060,0.6754758970876752
DP1f,12217511,5735046,0.4694119776114791
ML2_BW_st,41159773,9011228,0.21893288867263674
EM1,8000108,8000027,0.9999898751366857
MCS,244083968,18841654,0.07719332881379574
MI,16418656,16396832,0.9986707803610722
CRd,96647540,88416251,0.9148318829429078
CCh,32211772,29491633,0.9155545059737787
CCe,108015887,81015035,0.7500288823254305
MIM2,23657656,3659427,0.15468256872109393
CS1,50356411,50327585,0.9994275604748718
ML2_BW_ld,67433271,26214428,0.3887462021529402
EI,20000147,18000045,0.8999956350320825
CCm,33591393,33564696,0.9992052428430104
ML2_BW_ldst,52139886,13926428,0.26709740025131623
STc,6577209,6564834,0.9981185028482445
M_Dyn,69830548,17203231,0.24635680934367005
DPTd,11923926,9440062,0.791690756886616
EM5,44000159,16000034,0.3636358223160057
ML2_st,3503335,786448,0.22448552593457377
DP1d,27367151,9635306,0.3520755960311689
ED1,12000069,6000030,0.4999996250021562
CF1,13689,11731,0.8569654467090364
DPcvt,16396757,5738442,0.34997420526510215
CCl,30545050,29884610,0.9783781660203535
STL2b,2603626,263968,0.10138476109856023
CRm,52176,47180,0.9042471634467955
CCa,29378669,29366298,0.9995789121692341
EF,20000254,20000061,0.9999903501225534
CRf,150997085,141740076,0.9386941211481004
CS3,68210924,51204129,0.7506734405181199
MIP,59164004,22008026,0.37198337691952016
ML2,2401025,720913,0.3002521839630991
MD,24599318,24582024,0.9992969723794781
MM_st,869264,196640,0.22621436065453074
MM,588527,262176,0.44547828731731937
