,des,rdPr,hm,numPackets,avgReadLatency,avgWriteLatency,readBW,writeBW,totBW,ARL,AWL,ART
0,2,RO,Hit,2861651,918102.911834,nan,18312883189.012272,0,18.312883189012272,918.102911834,,
1,2,RO,MissClean,1144155,1307844.862864,nan,7321734278.459210,0,7.3217342784592105,1307.844862864,,
2,2,RO,MissDirty,1175233,1182102.880462,nan,7520535188.394499,0,7.520535188394499,1182.1028804619998,,
3,2,R67,Hit,1957024,849970.852065,15187.166697,8303992211.572502,4220312894.363684,12.524305105936186,849.970852065,15.187166697,574.4922358935601
4,2,R67,MissClean,1166721,1342917.460714,18878.175457,4953530216.258120,2512912265.923638,7.4664424821817565,1342.917460714,18.878175457,905.9844965791901
5,2,R67,MissDirty,1208321,1274573.513542,18210.988392,5129519179.715225,2602902703.335369,7.732421883050594,1274.573513542,18.210988392,859.9738802425001
6,2,WO,Hit,1234308,nan,18105.848358,0,7899550489.605947,7.8995504896059465,,18.105848358,
7,2,WO,MissClean,1234308,nan,18105.848358,0,7899550489.605947,7.8995504896059465,,18.105848358,
8,2,WO,MissDirty,1234308,nan,18105.848358,0,7899550489.605947,7.8995504896059465,,18.105848358,
9,HBM2,RO,Hit,438985,605333.500357,nan,28078016000,0,28.078016,605.333500357,,
10,HBM2,RO,MissClean,176961,453195.527612,nan,11320924670.067816,0,11.320924670067816,453.195527612,,
11,HBM2,RO,MissDirty,176922,453318.627399,nan,11317632000,0,11.317632,453.318627399,,
12,HBM2,R67,Hit,292844,804716.160731,13184.823906,12418880000,6313728000,18.732608,804.7161607310001,13.184823906,543.5108195787501
13,HBM2,R67,MissClean,177968,483562.364957,15627.097113,7548656902.686194,3836856326.287347,11.385513228973542,483.562364957,15.627097113,329.14372656848
14,HBM2,R67,MissDirty,178101,483909.376258,15622.532892,7554816000,3839936000,11.394752,483.90937625799995,15.622532891999999,329.37471794722
15,HBM2,WO,Hit,178044,nan,15590.176255,0,11393760720.029837,11.393760720029837,,15.590176255000001,
16,HBM2,WO,MissClean,178044,nan,15590.176255,0,11393760720.029837,11.393760720029837,,15.590176255000001,
17,HBM2,WO,MissDirty,178044,nan,15590.176255,0,11393760720.029837,11.393760720029837,,15.590176255000001,
