 10400106973000 464      Cache        AllocRequest    RSC>RSC    [0xbd92f240, line 0xbd92f240] 
 10400106973000 464      Cache          ReadShared    RSC>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106973000 464      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106973250 464      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106973250 464      Cache         SendSnpOnce BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106983750 464      Cache      SnpRespData_SC BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106986000 464      Cache      SnpRespData_SC BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106986000 464      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106986000 464      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106986000 464      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106986250 464      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106988500 464      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106988500 464      Cache   MaintainCoherence BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106988500 464      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106988500 464      Cache               Final BUSY_BLKD>RSC    [0xbd92f240, line 0xbd92f240] 
 10400110967250 464      Cache        AllocRequest    RSC>RSC    [0xbd92f240, line 0xbd92f240] 
 10400110967250 464      Cache               Evict    RSC>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400110967250 464      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400110967500 464      Cache       SendCompIResp BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400110967500 464      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400110967500 464      Cache               Final BUSY_BLKD>RSC    [0xbd92f240, line 0xbd92f240] 
 10400112703500 464      Cache        AllocRequest    RSC>RSC    [0xbd92f240, line 0xbd92f240] 
 10400112703500 464      Cache               Evict    RSC>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400112703500 464      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400112703750 464      Cache           SendEvict BUSY_BLKD>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400112716500 464      Cache          AllocSnoop BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400112716500 464      Cache     SnpCleanInvalid BUSY_INTR>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400112716500 464      Cache          SnpInvPipe BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400112716500 464      Cache SendSnpCleanInvalid BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400112725500 464      Cache           SnpResp_I BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400112725500 464      Cache      SendInvSnpResp BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400112725500 464      Cache        SendSnpIResp BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400112725500 464      Cache   RestoreFromHazard BUSY_BLKD>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400112795250 464      Cache              Comp_I BUSY_INTR>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
