 10400106413250 386      Cache      Local_Eviction     SC>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106413250 386      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106413500 386      Cache           SendEvict BUSY_BLKD>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106413500 386      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106414750 380      Cache        AllocRequest    RSC>RSC    [0xbd92f240, line 0xbd92f240] 
 10400106414750 380      Cache               Evict    RSC>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106414750 380      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106415000 380      Cache           SendEvict BUSY_BLKD>BUSY_INTR [0xbd92f240, line 0xbd92f240] 
 10400106421250  10      Cache        AllocRequest   RUSC>RUSC   [0xbd92f240, line 0xbd92f240] 
 10400106421250  10      Cache               Evict   RUSC>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106421250  10      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106421500  10      Cache       SendCompIResp BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106421500  10      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106421500  10      Cache               Final BUSY_BLKD>RUSC   [0xbd92f240, line 0xbd92f240] 
 10400106440250 380      Cache              Comp_I BUSY_INTR>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106440250 380      Cache       SendCompIResp BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106440250 380      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106440250 380      Cache               Final BUSY_BLKD>I      [0xbd92f240, line 0xbd92f240] 
 10400106441500 386      Cache              Comp_I BUSY_INTR>BUSY_BLKD [0xbd92f240, line 0xbd92f240] 
 10400106441500 386      Cache               Final BUSY_BLKD>I      [0xbd92f240, line 0xbd92f240] 
 10400106657000  87        Seq               Begin       >       [0xbd92f268, line 0xbd92f240] LD
