 10229969195750 443      Cache        AllocRequest      I>I      [0xbcf79140, line 0xbcf79140] 
 10229969195750 443      Cache          ReadShared      I>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969195750 443      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969196000 443      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969196000 443      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969201500 443      Cache        AllocRequest BUSY_INTR>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969201500 443      Cache          ReadShared BUSY_INTR>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969216000 443      Cache      CompData_SD_PD BUSY_INTR>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969216000 443      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969218250 443      Cache      CompData_SD_PD BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969218250 443      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969218250 443      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969218250 443      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969218500 443      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969220750 443      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969220750 443      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969220750 443      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969220750 443      Cache               Final BUSY_INTR>RSD    [0xbcf79140, line 0xbcf79140] 
 10229969220750 443      Cache          ReadShared    RSD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969220750 443      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969221000 443      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969221000 443      Cache       SendSnpShared BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969227500 443      Cache   SnpRespData_SC_PD BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969228500 443      Cache   SnpRespData_SC_PD BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969228500 443      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969228500 443      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969228500 443      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969228750 443      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969231000 443      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969231000 443      Cache   MaintainCoherence BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969231000 443      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969231000 443      Cache               Final BUSY_BLKD>RSD    [0xbcf79140, line 0xbcf79140] 
 10229969596250 443      Cache          AllocSnoop    RSD>RSD    [0xbcf79140, line 0xbcf79140] 
 10229969596250 443      Cache        SnpSharedFwd    RSD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969596250 443      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969596500 443      Cache       SnpSharedPipe BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969596500 443      Cache       SendSnpShared BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969607500 443      Cache   SnpRespData_SC_PD BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969608500 443      Cache   SnpRespData_SC_PD BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969608500 443      CacheSendSnpSharedFwdCompData BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969608500 443      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969608750 443      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969608750 443      Cache    SendSnpFwdedResp BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969608750 443      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969608750 443      Cache               Final BUSY_BLKD>RSC    [0xbcf79140, line 0xbcf79140] 
 10229977327250 443      Cache        AllocRequest    RSC>RSC    [0xbcf79140, line 0xbcf79140] 
 10229977327250 443      Cache               Evict    RSC>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229977327250 443      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229977327500 443      Cache       SendCompIResp BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229977327500 443      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229977327500 443      Cache               Final BUSY_BLKD>RSC    [0xbcf79140, line 0xbcf79140] 
 10229978595250 443      Cache        AllocRequest    RSC>RSC    [0xbcf79140, line 0xbcf79140] 
 10229978595250 443      Cache               Evict    RSC>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229978595250 443      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229978595500 443      Cache           SendEvict BUSY_BLKD>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229978665500 443      Cache          AllocSnoop BUSY_INTR>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229978665500 443      Cache     SnpCleanInvalid BUSY_INTR>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229978665500 443      Cache          SnpInvPipe BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229978665500 443      Cache SendSnpCleanInvalid BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229978668000 443      Cache           SnpResp_I BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229978668000 443      Cache      SendInvSnpResp BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229978668000 443      Cache        SendSnpIResp BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229978668000 443      Cache   RestoreFromHazard BUSY_BLKD>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229978769000 443      Cache              Comp_I BUSY_INTR>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
