 10229969192250 109        Seq               Begin       >       [0xbcf79168, line 0xbcf79140] LD
 10229969192500 447      Cache     AllocSeqRequest      I>I      [0xbcf79140, line 0xbcf79140] 
 10229969192500 447      Cache                Load      I>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969192500 447      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969192500 447      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969193250 449      Cache        AllocRequest      I>I      [0xbcf79140, line 0xbcf79140] 
 10229969193250 449      Cache          ReadShared      I>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969193250 449      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969193500 449      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969193500 449      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969195750 443      Cache        AllocRequest      I>I      [0xbcf79140, line 0xbcf79140] 
 10229969195750 443      Cache          ReadShared      I>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969195750 443      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969196000 443      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969196000 443      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969199000 108        Seq               Begin       >       [0xbcf79168, line 0xbcf79140] LD
 10229969199250 444      Cache     AllocSeqRequest      I>I      [0xbcf79140, line 0xbcf79140] 
 10229969199250 444      Cache                Load      I>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969199250 444      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969199250 444      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969200000 446      Cache        AllocRequest      I>I      [0xbcf79140, line 0xbcf79140] 
 10229969200000 446      Cache          ReadShared      I>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969200000 446      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969200250 446      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969200250 446      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969200750   6      Cache        AllocRequest     RU>RU     [0xbcf79140, line 0xbcf79140] 
 10229969200750   6      Cache          ReadShared     RU>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969200750   6      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969201000   6      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969201000   6      CacheSendSnpSharedFwdToOwner BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969201000   6      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969201500 443      Cache        AllocRequest BUSY_INTR>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969201500 443      Cache          ReadShared BUSY_INTR>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969203750  79      Cache          AllocSnoop     RU>RU     [0xbcf79140, line 0xbcf79140] 
 10229969203750  79      Cache        SnpSharedFwd     RU>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969203750  79      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969204000  79      Cache       SnpSharedPipe BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969204000  79      Cache       SendSnpShared BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969205250  85      Cache          AllocSnoop  UC_RU>UC_RU  [0xbcf79140, line 0xbcf79140] 
 10229969205250  85      Cache           SnpShared  UC_RU>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969205250  85      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969205500  85      Cache       SnpSharedPipe BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969205500  85      Cache       SendSnpShared BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969206250  83      Cache          AllocSnoop     UD>UD     [0xbcf79140, line 0xbcf79140] 
 10229969206250  83      Cache           SnpShared     UD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969206250  83      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969206500  83      Cache       SnpSharedPipe BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969206500  83      Cache       DataArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969206750  83      Cache         SendSnpData BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969206750  83      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969207000  83      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969207000  83      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969207000  83      Cache               Final BUSY_BLKD>SC     [0xbcf79140, line 0xbcf79140] 
 10229969207500  85      Cache   SnpRespData_SC_PD BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969208500  85      Cache   SnpRespData_SC_PD BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969208500  85      Cache         SendSnpData BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969208500  85      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969208750  85      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969208750  85      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969208750  85      Cache               Final BUSY_BLKD>SC_RSC [0xbcf79140, line 0xbcf79140] 
 10229969209750  79      Cache   SnpRespData_SC_PD BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969210750  79      Cache   SnpRespData_SC_PD BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969210750  79      CacheSendSnpSharedFwdCompData BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969210750  79      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969211000  79      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969211000  79      Cache    SendSnpFwdedResp BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969211000  79      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969211000  79      Cache               Final BUSY_BLKD>RSC    [0xbcf79140, line 0xbcf79140] 
 10229969216000 443      Cache      CompData_SD_PD BUSY_INTR>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969216000 443      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969218250 443      Cache      CompData_SD_PD BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969218250 443      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969218250 443      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969218250 443      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969218500 443      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969219500 449      Cache      CompData_SD_PD BUSY_INTR>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969219500 449      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969220500 449      Cache      CompData_SD_PD BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969220500 449      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969220500 449      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969220500 449      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969220750   6      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969220750 443      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969220750 443      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969220750 443      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
 10229969220750 443      Cache               Final BUSY_INTR>RSD    [0xbcf79140, line 0xbcf79140] 
 10229969220750 443      Cache          ReadShared    RSD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969220750 443      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969220750 449      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969221000 443      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969221000 443      Cache       SendSnpShared BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969221250 447      Cache      CompData_SD_PD BUSY_INTR>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969221250 447      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969222000 449      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbcf79140, line 0xbcf79140] 
 10229969222000 449      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbcf79140, line 0xbcf79140] 
