 27101571051000 478      Cache        AllocRequest    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] 
 27101571051000 478      Cache               Evict    RSC>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101571051000 478      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101571051250 478      Cache       SendCompIResp BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101571051250 478      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101571051250 478      Cache               Final BUSY_BLKD>RSC    [0x1f887b1c0, line 0x1f887b1c0] 
 27101573313000 478      Cache        AllocRequest    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] 
 27101573313000 478      Cache               Evict    RSC>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101573313000 478      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101573313250 478      Cache           SendEvict BUSY_BLKD>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101573449000 478      Cache          AllocSnoop BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101573449000 478      Cache     SnpCleanInvalid BUSY_INTR>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101573449000 478      Cache          SnpInvPipe BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101573449000 478      Cache SendSnpCleanInvalid BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101573454750 478      Cache           SnpResp_I BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101573454750 478      Cache      SendInvSnpResp BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101573454750 478      Cache        SendSnpIResp BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101573454750 478      Cache   RestoreFromHazard BUSY_BLKD>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101573610000 478      Cache              Comp_I BUSY_INTR>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
