 27101563968500 110        Seq               Begin       >       [0x1f887b1dc, line 0x1f887b1c0] LD
 27101563968750 451      Cache     AllocSeqRequest      I>I      [0x1f887b1c0, line 0x1f887b1c0] 
 27101563968750 451      Cache                Load      I>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563968750 451      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563968750 451      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101563969500 453      Cache        AllocRequest      I>I      [0x1f887b1c0, line 0x1f887b1c0] 
 27101563969500 453      Cache          ReadShared      I>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563969500 453      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563969750 453      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563969750 453      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101563971750 450      Cache        AllocRequest      I>I      [0x1f887b1c0, line 0x1f887b1c0] 
 27101563971750 450      Cache          ReadShared      I>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563971750 450      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563972000 450      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563972000 450      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101563975500 111        Seq               Begin       >       [0x1f887b1dc, line 0x1f887b1c0] LD
 27101563975750 454      Cache     AllocSeqRequest      I>I      [0x1f887b1c0, line 0x1f887b1c0] 
 27101563975750 454      Cache                Load      I>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563975750 454      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563975750 454      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101563976500 456      Cache        AllocRequest      I>I      [0x1f887b1c0, line 0x1f887b1c0] 
 27101563976500 456      Cache          ReadShared      I>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563976500 456      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563976750   8      Cache        AllocRequest   RUSC>RUSC   [0x1f887b1c0, line 0x1f887b1c0] 
 27101563976750   8      Cache          ReadShared   RUSC>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563976750   8      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563976750 456      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563976750 456      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101563977000   8      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563977000   8      CacheSendSnpSharedFwdToSharer BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563977000   8      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563978000 450      Cache        AllocRequest BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101563978000 450      Cache          ReadShared BUSY_INTR>BUSY_INTR [0x1f887b1c0, line 0x1f887b1c0] 
 27101563979750 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563979750 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563979750 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563979750 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563980000 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563980250 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563980500 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563980750 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563981000 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563981250 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563981500 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563981750 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563982000 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563982250 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563982500 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563982750 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563982750 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563982750 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563982750 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563983000 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563983000 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563983000 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563983000 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] Resource Stall
 27101563983000 128      Cache          AllocSnoop    RSC>RSC    [0x1f887b1c0, line 0x1f887b1c0] 
 27101563983000 128      Cache        SnpSharedFwd    RSC>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563983000 128      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563983250 128      Cache       SnpSharedPipe BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563983250 128      Cache         SendSnpOnce BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563984500 131      Cache          AllocSnoop     SC>SC     [0x1f887b1c0, line 0x1f887b1c0] 
 27101563984500 131      Cache             SnpOnce     SC>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563984500 131      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563984750 131      Cache         SnpOncePipe BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563984750 131      Cache       DataArrayRead BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563985000 131      Cache         SendSnpData BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563985000 131      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563985250 131      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563985250 131      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563985250 131      Cache               Final BUSY_BLKD>SC     [0x1f887b1c0, line 0x1f887b1c0] 
 27101563990750 128      Cache      SnpRespData_SC BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563991750 128      Cache      SnpRespData_SC BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563991750 128      CacheSendSnpSharedFwdCompData BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563991750 128      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563992000 128      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563992000 128      Cache    SendSnpFwdedResp BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563992000 128      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563992000 128      Cache               Final BUSY_BLKD>RSC    [0x1f887b1c0, line 0x1f887b1c0] 
 27101563997750 450      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563997750 450      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563998750 450      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563998750 450      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563998750 450      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563998750 450      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101563999000 450      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564000000 453      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564000000 453      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564002500   8      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564003250 453      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564003250 453      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564003250 453      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564003250 453      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564003500 453      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564004000 451      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564004000 451      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
 27101564004250 450      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0x1f887b1c0, line 0x1f887b1c0] 
