 32170991155000 485      Cache        AllocRequest    RSC>RSC    [0xfbe6b240, line 0xfbe6b240] 
 32170991155000 485      Cache               Evict    RSC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170991155000 485      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170991155250 485      Cache       SendCompIResp BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170991155250 485      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170991155250 485      Cache               Final BUSY_BLKD>RSC    [0xfbe6b240, line 0xfbe6b240] 
 32170992674750 485      Cache        AllocRequest    RSC>RSC    [0xfbe6b240, line 0xfbe6b240] 
 32170992674750 485      Cache               Evict    RSC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170992674750 485      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170992675000 485      Cache           SendEvict BUSY_BLKD>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170992696000 485      Cache          AllocSnoop BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170992696000 485      Cache     SnpCleanInvalid BUSY_INTR>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170992696000 485      Cache          SnpInvPipe BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170992696000 485      Cache SendSnpCleanInvalid BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170992700000 485      Cache           SnpResp_I BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170992700000 485      Cache      SendInvSnpResp BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170992700000 485      Cache        SendSnpIResp BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170992700000 485      Cache   RestoreFromHazard BUSY_BLKD>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170992727750 485      Cache              Comp_I BUSY_INTR>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
