 32170983176750 486      Cache      Local_Eviction     SC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170983176750 486      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170983177000 486      Cache           SendEvict BUSY_BLKD>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170983177000 486      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170983177750 488      Cache        AllocRequest SC_RSC>SC_RSC [0xfbe6b240, line 0xfbe6b240] 
 32170983177750 488      Cache               Evict SC_RSC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170983177750 488      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170983178000 488      Cache       SendCompIResp BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170983178000 488      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170983178000 488      Cache               Final BUSY_BLKD>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170983178750 486      Cache              Comp_I BUSY_INTR>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170983178750 486      Cache               Final BUSY_BLKD>I      [0xfbe6b240, line 0xfbe6b240] 
 32170983761750 496      Cache      Local_Eviction     SC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170983761750 496      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170983762000 496      Cache           SendEvict BUSY_BLKD>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170983762000 496      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170983766750 498      Cache        AllocRequest SC_RSC>SC_RSC [0xfbe6b240, line 0xfbe6b240] 
 32170983766750 498      Cache               Evict SC_RSC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170983766750 498      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170983767000 498      Cache       SendCompIResp BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170983767000 498      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170983767000 498      Cache               Final BUSY_BLKD>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170983768250 496      Cache              Comp_I BUSY_INTR>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170983768250 496      Cache               Final BUSY_BLKD>I      [0xfbe6b240, line 0xfbe6b240] 
 32170988190000 122        Seq               Begin       >       [0xfbe6b268, line 0xfbe6b240] LD
 32170988190250 493      Cache     AllocSeqRequest      I>I      [0xfbe6b240, line 0xfbe6b240] 
 32170988190250 493      Cache                Load      I>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988190250 493      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988190250 493      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988191000 495      Cache        AllocRequest      I>I      [0xfbe6b240, line 0xfbe6b240] 
 32170988191000 495      Cache          ReadShared      I>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988191000 495      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988191250 495      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988191250 495      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988192500 492      Cache        AllocRequest    RSC>RSC    [0xfbe6b240, line 0xfbe6b240] 
 32170988192500 492      Cache          ReadShared    RSC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988192500 492      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988192750 492      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988192750 492      Cache         SendSnpOnce BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988194000 498      Cache          AllocSnoop     SC>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170988194000 498      Cache             SnpOnce     SC>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988194000 498      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988194250 498      Cache         SnpOncePipe BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988194250 498      Cache       DataArrayRead BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988194500 498      Cache         SendSnpData BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988194500 498      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988194750 498      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988194750 498      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988194750 498      Cache               Final BUSY_BLKD>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170988200000 492      Cache      SnpRespData_SC BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988201000 492      Cache      SnpRespData_SC BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988201000 492      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988201000 492      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988201000 492      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988201250 492      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988203500 495      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988203500 495      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988204500 495      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988204500 495      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988204500 495      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988204500 495      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988204750 492      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988204750 492      Cache   MaintainCoherence BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988204750 492      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988204750 492      Cache               Final BUSY_BLKD>RSC    [0xfbe6b240, line 0xfbe6b240] 
 32170988204750 495      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988205250 493      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988205250 493      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988206250 122        Seq                Done       >       [0xfbe6b268, line 0xfbe6b240] 65 cycles
 32170988206250 493      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988206250 493      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988206250 493      Cache      CheckCacheFill BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988206250 493      Cache            FillPipe BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988206250 493      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988206250 493      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988206250 493      Cache               Final BUSY_INTR>SC     [0xfbe6b240, line 0xfbe6b240] 
 32170988210500 495      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xfbe6b240, line 0xfbe6b240] 
 32170988210500 495      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988210500 495      Cache            FillPipe BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988210500 495      CacheDataArrayWriteOnFill BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988210500 495      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xfbe6b240, line 0xfbe6b240] 
 32170988210500 495      Cache               Final BUSY_INTR>SC_RSC [0xfbe6b240, line 0xfbe6b240] 
