 10475603669250 485      Cache        AllocRequest      I>I      [0xbcf8fac0, line 0xbcf8fac0] 
 10475603669250 485      Cache          ReadShared      I>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603669250 485      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603669500 485      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603669500 485      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475603710750 485      Cache         CompData_SC BUSY_INTR>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603710750 485      Cache         SendCompAck BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603711750 485      Cache         CompData_SC BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603711750 485      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603711750 485      Cache        SendCompData BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603711750 485      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603712000 485      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603714250 485      Cache             CompAck BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603714250 485      Cache      CheckCacheFill BUSY_BLKD>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475603714250 485      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475603714250 485      Cache               Final BUSY_INTR>RSC    [0xbcf8fac0, line 0xbcf8fac0] 
 10475617791500 485      Cache        AllocRequest    RSC>RSC    [0xbcf8fac0, line 0xbcf8fac0] 
 10475617791500 485      Cache               Evict    RSC>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475617791500 485      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475617791750 485      Cache           SendEvict BUSY_BLKD>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475617885750 485      Cache          AllocSnoop BUSY_INTR>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475617885750 485      Cache     SnpCleanInvalid BUSY_INTR>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475617885750 485      Cache          SnpInvPipe BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475617885750 485      Cache SendSnpCleanInvalid BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475617888500 485      Cache           SnpResp_I BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475617888500 485      Cache      SendInvSnpResp BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475617888500 485      Cache        SendSnpIResp BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475617888500 485      Cache   RestoreFromHazard BUSY_BLKD>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475618004250 485      Cache              Comp_I BUSY_INTR>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
