 10475578298500 104      Cache      Local_Eviction     SC>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475578298500 104      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475578298750 104      Cache           SendEvict BUSY_BLKD>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475578298750 104      Cache       TagArrayWrite BUSY_INTR>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475578299500 106      Cache        AllocRequest UC_RSC>UC_RSC [0xbcf8fac0, line 0xbcf8fac0] 
 10475578299500 106      Cache               Evict UC_RSC>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475578299500 106      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475578299750 106      Cache       SendCompIResp BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475578299750 106      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475578299750 106      Cache               Final BUSY_BLKD>UC     [0xbcf8fac0, line 0xbcf8fac0] 
 10475578300500 104      Cache              Comp_I BUSY_INTR>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475578300500 104      Cache               Final BUSY_BLKD>I      [0xbcf8fac0, line 0xbcf8fac0] 
 10475603666750 121        Seq               Begin       >       [0xbcf8faf8, line 0xbcf8fac0] LD
 10475603667000 489      Cache     AllocSeqRequest      I>I      [0xbcf8fac0, line 0xbcf8fac0] 
 10475603667000 489      Cache                Load      I>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603667000 489      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603667000 489      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475603667750 491      Cache        AllocRequest      I>I      [0xbcf8fac0, line 0xbcf8fac0] 
 10475603667750 491      Cache          ReadShared      I>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603667750 491      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603668000 491      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603668000 491      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475603669250 485      Cache        AllocRequest      I>I      [0xbcf8fac0, line 0xbcf8fac0] 
 10475603669250 485      Cache          ReadShared      I>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603669250 485      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603669500 485      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603669500 485      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf8fac0, line 0xbcf8fac0] 
 10475603673250  44      Cache        AllocRequest     RU>RU     [0xbcf8fac0, line 0xbcf8fac0] 
 10475603673250  44      Cache          ReadShared     RU>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
 10475603673250  44      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf8fac0, line 0xbcf8fac0] 
