 10991644164250 317      Cache        AllocRequest    RSC>RSC    [0xbcf0b140, line 0xbcf0b140] 
 10991644164250 317      Cache               Evict    RSC>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644164250 317      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644164500 317      Cache           SendEvict BUSY_BLKD>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991644166750 317      Cache          AllocSnoop BUSY_INTR>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991644166750 317      Cache     SnpCleanInvalid BUSY_INTR>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644166750 317      Cache          SnpInvPipe BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644166750 317      Cache SendSnpCleanInvalid BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644169250 317      Cache           SnpResp_I BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644169250 317      Cache      SendInvSnpResp BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644169250 317      Cache        SendSnpIResp BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991644169250 317      Cache   RestoreFromHazard BUSY_BLKD>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991644640500 317      Cache              Comp_I BUSY_INTR>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
