 10991640652750  20        Seq               Begin       >       [0xbcf0b168, line 0xbcf0b140] LD
 10991640653000 136      Cache     AllocSeqRequest      I>I      [0xbcf0b140, line 0xbcf0b140] 
 10991640653000 136      Cache                Load      I>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640653000 136      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640653000 136      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991640653750 138      Cache        AllocRequest      I>I      [0xbcf0b140, line 0xbcf0b140] 
 10991640653750 138      Cache          ReadShared      I>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640653750 138      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640654000 138      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640654000 138      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991640655500 135      Cache        AllocRequest      I>I      [0xbcf0b140, line 0xbcf0b140] 
 10991640655500 135      Cache          ReadShared      I>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640655500 135      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640655750 135      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640655750 135      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991640658500   6      Cache        AllocRequest   RUSD>RUSD   [0xbcf0b140, line 0xbcf0b140] 
 10991640658500   6      Cache          ReadShared   RUSD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640658500   6      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640658750   6      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640658750   6      CacheSendSnpSharedFwdToOwner BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640658750   6      Cache         WaitCompAck BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640659500  21        Seq               Begin       >       [0xbcf0b168, line 0xbcf0b140] LD
 10991640659750 139      Cache     AllocSeqRequest      I>I      [0xbcf0b140, line 0xbcf0b140] 
 10991640659750 139      Cache                Load      I>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640659750 139      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640659750 139      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991640660500 141      Cache        AllocRequest      I>I      [0xbcf0b140, line 0xbcf0b140] 
 10991640660500 141      Cache          ReadShared      I>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640660500 141      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640660750 141      Cache        ReadMissPipe BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640660750 141      Cache      SendReadShared BUSY_BLKD>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991640662000 135      Cache        AllocRequest BUSY_INTR>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991640662000 135      Cache          ReadShared BUSY_INTR>BUSY_INTR [0xbcf0b140, line 0xbcf0b140] 
 10991640664000 142      Cache          AllocSnoop    RSD>RSD    [0xbcf0b140, line 0xbcf0b140] 
 10991640664000 142      Cache        SnpSharedFwd    RSD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640664000 142      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640664250 142      Cache       SnpSharedPipe BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640664250 142      Cache       SendSnpShared BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640665500 148      Cache          AllocSnoop     SD>SD     [0xbcf0b140, line 0xbcf0b140] 
 10991640665500 148      Cache           SnpShared     SD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640665500 148      Cache        TagArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640665750 148      Cache       SnpSharedPipe BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640665750 148      Cache       DataArrayRead BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640666000 148      Cache         SendSnpData BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640666000 148      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640666250 148      Cache             TX_Data BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640666250 148      Cache       TagArrayWrite BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640666250 148      Cache               Final BUSY_BLKD>SC     [0xbcf0b140, line 0xbcf0b140] 
 10991640669500 142      Cache   SnpRespData_SC_PD BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640670500 142      Cache   SnpRespData_SC_PD BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
 10991640670500 142      CacheSendSnpSharedFwdCompData BUSY_BLKD>BUSY_BLKD [0xbcf0b140, line 0xbcf0b140] 
